,Emails,label
0,jurong point crazy available bugis great world buffet amore,0
1,lar joking wif,0
2,free entry wkly comp win cup final tkts text receive entry question std txt rate apply,1
3,dun early,0
4,usf life,0
5,freemsg hey darling week word back fun xxx std chgs send rcv,1
6,brother speak treat aid patent,0
7,request melle oru minnaminunginte nurungu vettam set callertune caller press copy friend callertune,0
8,winner valued network customer selected receivea prize reward claim call claim code valid hour,1
9,mobile month entitled update latest colour mobile camera free call mobile update free,1
10,home talk stuff anymore tonight cried today,0
11,chance win cash pound txt send cost tsandcs apply reply info,1
12,urgent week free membership prize jackpot txt word claim lccltd pobox,1
13,searching word breather promise granted fulfil promise wonderful blessing time,0
14,date sunday,0
15,xxxmobilemovieclub credit click wap link txt message click http,1
16,watching,0
17,remember spell naughty make wet,0
18,fine thataos feel thataos gota,0
19,england macedonia miss news txt national team england wale scotland,1
20,spell,0
21,month joking,0
22,pay lar stock comin,0
23,aft finish lunch str ard smth finish lunch,0
24,ffffffffff alright meet sooner,0
25,forced eat slice hungry suck mark worried sick turn pizza,0
26,convincing,0
27,catch bus frying egg make tea eating mom left dinner feel love,0
28,back amp packing car room,0
29,ahhh work vaguely remember feel,0
30,wait clear sarcastic live,0
31,apologetic fallen actin spoilt child caught badly cheer,0
32,,0
33,fear fainting housework quick cuppa,0
34,subscription ringtone mobile charged confirm replying reply charged,1
35,home timing message xuhui learn lesson,0
36,oops roommate,0
37,letter car,0
38,decide,0
39,saturday texting decided tomo invite,0
40,pls ahead watt wanted great weekend abiola,0
41,forget crave love sweet arabian steed mmmmmm yummy,0
42,rodger burn message call reply sm free nokia mobile free camcorder call delivery tomorrow,1
43,,0
44,great hope endowed inch,0
45,call message missed call,0
46,immunisation nigeria,0
47,fair,0
48,tyler bit,0
49,stubborn hospital telling mark weak sucker hospital weak sucker,0
50,thinked time class,0
51,gram run half eighth smarter gram,0
52,fyi ride early tomorrow morning crashing place tonight,0
53,wow realized embarassed accomodations happy cave sorry give sorry offered sorry room embarassing,0
54,sm sptv jersey devil detroit red wing play ice hockey correct incorrect reply sptv,1
55,mallika sherawat yesterday find url,0
56,congrats year special cinema pas call suprman free miss,1
57,sorry call meeting,0
58,reached,0
59,gauti sehwag odi series,0
60,pick burger home move pain killing,0
61,joke girl situation seeker,0
62,part checking,0
63,sorry roommate forever,0
64,lar double check wif hair dresser wun cut short cut nice,0
65,valued customer pleased advise recent review mob awarded bonus prize call,1
66,today song dedicated day song dedicate send valuable frnds rply,0
67,urgent awarded complimentary trip eurodisinc trav aco claim txt dis morefrmmob shracomorsglsuplt,1
68,hear divorce barbie ken stuff,1
69,plane give month,0
70,lucky save money hee,0
71,finished class,0
72,babe home,0
73,performed,0
74,call,0
75,waiting machan call free,0
76,cool gentleman treat dignity respect,0
77,people shy,0
78,operate,0
79,job earn,0
80,sorry call,0
81,call,0
82,home,0
83,place,0
84,stop,0
85,call network urgnt sm,0
86,real ticket jacket multis,0
87,started send request make pain back back bed double coin factory cash nitros,0
88,tonight babe,0
89,download wen free,0
90,stand close catch,0
91,sorry pain meet night spent late afternoon casualty mean includes time sheet sorry,0
92,smile pleasure smile pain smile trouble pours rain smile hurt smile becoz love smiling,0
93,call customer service representative guaranteed cash prize,1
94,planning buy check lido show afternoon finish work,0
95,free ringtone waiting collected simply text password mix verify usher britney fml,1
96,watching telugu movie,0
97,finish load loan pay,0
98,hols bit run forgot hairdresser appointment home shower prob,0
99,text anymore,0
100,price long legal wen pick ave am,0
101,car buy driving test,0
102,request melle oru minnaminunginte nurungu vettam set callertune caller press copy friend callertune,0
103,wow guess gave boston changed search location nyc changed cuz signin page boston,0
104,umma life vava umma love lot dear,0
105,lot wish birthday making birthday memorable,0
106,aight hit cash,0
107,address test considering computer minecraft server,0
108,grumpy mom lying play joke,0
109,worry guess busy,0
110,plural noun research,0
111,,0
112,wif co thing scared dun mah co loud,0
113,gent contact weekend draw show prize guaranteed call claim code valid,1
114,openin sentence formal fine juz eatin puttin weight haha anythin special happened,0
115,entered cabin happy bos felt special askd lunch lunch invited apartment,0
116,winner specially selected receive holiday flight speak live operator claim,1
117,goodo speak friday ratio tortilla needed,0
118,uncle informed paying school directly pls buy food,0
119,private account statement show unredeemed bonus point claim call identifier code expires,1
120,urgent mobile awarded bonus caller prize final contact call landline,1
121,address pair malarky,0
122,today voda number ending selected receive award match call quoting claim code standard rate app,1
123,sao today,0
124,predict time finish buying,0
125,stuff,0
126,yetunde money text bother sending involve imposed place apologise,0
127,room,0
128,hey girl hope bak long time give call sum time lucyxx,0
129,cost,0
130,home,0
131,dear call accomodate,0
132,answer question,0
133,sunshine quiz wkly win top sony dvd player country algarve txt ansr tyrone,1
134,laid tonight real dogging location direct mob join largest dogging network txting gravel,1
135,haf msn yijue,0
136,call meet,0
137,check room befor activity,0
138,rcv msg chat svc free hardcore service text age verify network,1
139,lazy type forgot lect pouch nice,0
140,text,0
141,sir waiting mail,0
142,swt nver tired thing lovable person coz somtimes thing occupy biggest part heart gud,0
143,pls open back,0
144,dot,0
145,staff taking class,0
146,freemsg replied text randy sexy female live local love hear netcollex message reply stop,1
147,call check life begin qatar pls pray hard,0
148,deleted contact,0
149,sindu job birla soft,0
150,wine flowing nevering,0
151,thk co plaza mah,0
152,typical reply,0
153,request melle oru minnaminunginte nurungu vettam set callertune caller press copy friend callertune,0
154,dirt floor window shirt open mouth flowing dream world half chore time joy lot show guess thing exist rain hail mist time,0
155,aaooooright work,0
156,leaving house,0
157,love interview today happy boy missing,0
158,customer service annoncement year delivery waiting call arrange delivery,1
159,winner specially selected receive cash holiday flight speak live operator claim,1
160,safe miss envy real life,0
161,car house parent job hand,0
162,love excited day spend make happy,0
163,stop bootydelious inviting friend reply stop send stop frnd,1
164,bangbabes order receive service message download content goto wap bangb mobile menu,1
165,place point culture module,0
166,urgent contact weekend draw show prize guaranteed call claim code valid,1
167,frnd avoid missunderstding wit beloved,0
168,great escape fancy bridge lager tomo,0
169,completely form clark utter waste,0
170,sir axis bank account bank address,0
171,hmmm thk time hop ard free muz call discus liao,0
172,time coming,0
173,bloody hell believe forgot surname give clue spanish begin,0
174,finish bath fine night,0
175,money carlos make call,0
176,mall,0
177,turn friend staying show back feel free ahead smoke worth,0
178,text reply,0
179,spoke maneesha satisfied experience reply toll free,0
180,lifted hope offer money especially month approach hurt studying weekend,0
181,trust,0
182,gentleman treat dignity respect,0
183,guy close,0
184,,0
185,handsome finding job lazy working back net mummy boytoy miss,0
186,haha awesome minute,0
187,call customer service representative freephone guaranteed cash prize,1
188,xmas radio time,0
189,jus reached home bathe si net finish,0
190,unique find august,1
191,sorry joined league touch great deal friend time great personal cost great,0
192,finally completed course,0
193,stop suggest stay give or stool,0
194,hope settled school year wishin day,0
195,gud mrng dear hav nice day,0
196,person story,0
197,hamster dead hey tomorrow meet orchard mrt,0
198,kate evening hope tomorrow bit bloody babyjontet txt back xxx,0
199,found enc,0
200,buck,0
201,darlin finished college txt finish love kate xxx,0
202,account refilled successfully inr decimal keralacircle prepaid account balance decimal transaction,0
203,goodmorning sleeping,0
204,call alter,0
205,dun buy ericsson oso oredi lar,0
206,entered cabin happy bos felt special askd lunch lunch invited apartment,0
207,aight dat straight dogg,0
208,give connection today decimal refund bill,0
209,shoot big load ready,0
210,bruv hope great break rewarding semester,0
211,home chat,0
212,study,0
213,leh,0
214,sound great home,0
215,finally match heading draw prediction,0
216,tired slept past night,0
217,easy selected mean,0
218,exam march,0
219,atm register ready,0
220,prob time,0
221,called ubandu run installing hard disk copy important file system give repair shop,0
222,sorry call,0
223,leh course happen lar romantic jus bit thk nite scenery nice leh,0
224,mobile txt nokia collect today,1
225,appreciate call talk,0
226,meet dream partner career flyng start find free txt horo star sign horo aries,1
227,hey company elama mudyadhu,0
228,life strict teacher bcoz teacher teach lesson amp conduct exam life conduct exam amp teach lesson happy morning,0
229,dear morning,0
230,gandhipuram walk cross cut road side street road turn,0
231,dear rubber place,0
232,sorry battery died,0
233,available work place,0
234,text meet sexy today find date flirt join reply age sam recd thirtyeight penny,1
235,printed upstairs,0
236,closer bus stop street,0
237,reach,0
238,theory argument win situation loses person argue friend kick amp correct,0
239,secret admirer make contact reveal think,1
240,tomarrow final hearing laptop case,0
241,pleassssssseeeeee tel avent sportsx,0
242,shining meant signing sound,0
243,told baig watch watch gave co today touched,0
244,remember commercial,0
245,late website slipper,0
246,asked call,0
247,kallis inning,0
248,work goodnight fix ready time wake dearly missed night sleep,0
249,congratulation awarded voucher guaranteed free entry wkly draw txt music tncs,1
250,ranjith cal drpd deeraj deepak hold,0
251,wen lovable bcums angry wid dnt coz angry childish showing deep affection love kettoda manda nice day,0
252,,0
253,ups shipping company take usps take week lag bribe nipost stuff,0
254,back ready,0
255,necessarily expect back headin,0
256,mmm yummy babe nice jolt suzy,0
257,lover,0
258,contact reply offer video handset anytime network min unlimited text camcorder reply call,1
259,parked mini coming today,0
260,,0
261,shopping co si dun disturb liao,0
262,luton ring,0
263,hey horny chat naked text hot text charged unsubscribe text stop,1
264,dint,0
265,wana plan trip sometme,0
266,hold,0
267,ringtone service changed free credit choose content stop txt club stop,1
268,evo download flash jealous,0
269,ringtone club single chart mobile week choose top quality ringtone message free charge,1
270,sorting narcotic situation,0
271,night ended day morning special smile sunny ray leaf worry blue blue bay,0
272,hmv bonus special pound genuine hmv voucher answer easy question play send hmv info,1
273,usf guess car,0
274,objection coming,0
275,,0
276,rob mack theater,0
277,awesome bit,0
278,type food,0
279,handed celebration full swing,0
280,called tool,0
281,wen miss,0
282,asked money,0
283,okie,0
284,usual guy passed night ahold throw,0
285,tonight class early,0
286,,0
287,baby cruisin girl friend give call hour home alright fone fone love jenny xxx,0
288,life mean lot love life love life world call friend call world,0
289,dear mail street update edukkukayee raksha real,0
290,hey told gautham,0
291,haf found feel stupid working,0
292,oops bit,0
293,buzy,0
294,accidentally deleted message resend,0
295,customer claim free camera phone upgrade pay sim card loyalty call end apply,1
296,situation gurl appropriate,0
297,hurt tease make cry life plz rose grave stupid miss nice day bslvyl,0
298,pick phone pls send message,0
299,coffee run tomo believe time week,0
300,awesome remember time high time diesel,0
301,shit shocking scary imagine def night crash night save taxi,0
302,food fridge meal tonight,0
303,womdarfull actor,0
304,sm blind date aberdeen united kingdom check http sm blind date send hide,1
305,remb book,0
306,wana meet,0
307,friendship hanging thread buy stuff,0
308,themob check newest selection content game tone gossip babe sport mobile fit funky text wap,1
309,garage key bookshelf,0
310,today accept day accept brother sister lover lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rply mean enemy,0
311,smart win week weekly quiz text play winnersclub box,1
312,give call friend money definitely buying week,0
313,normal real unique hope rest mylife hope find wot lost,0
314,made day great day,0
315,advance happy pongal,0
316,hmmm guess power yoga haha tahan power yoga anot thk oso forgot liao,0
317,friend afraid,0
318,december mobile entitled update latest colour camera mobile free call mobile update free,1
319,coffee cake guess,0
320,merry christmas babe love kiss,0
321,hey watch lunch haha,0
322,cud gona bit co bus hav gon past co full waitin,0
323,great guild meet bristol road touch weekend plan flight week,0
324,problem,0
325,call message missed call,0
326,today class,0
327,sign track record reading woman,0
328,cool text parked,0
329,reading text meant joke read light,0
330,apo movie,0
331,book tomo return immediately,0
332,call germany penny minute call fixed line access number prepayment direct access,1
333,chance evaporated violated privacy stealing phone number employer paperwork cool contact report supervisor,0
334,valentine day special win quiz partner trip lifetime send rcvd,1
335,home babe,0
336,cool wined dined,0
337,sleeping surfing,0
338,sorry call,0
339,calling call hand phone,0
340,great lot,0
341,post text happy reading wiv caroline favourite bless,0
342,hiding stranger,0
343,interested,0
344,sister cleared round birla soft yesterday,0
345,gudnite practice,0
346,dis yijue jus mail case huiming dis,0
347,small prestige problem,0
348,fancy shag txt xxuk suzy txts cost message tncs website,1
349,checking miss jeremiah great month,0
350,iphone,0
351,car hour half apeshit,0
352,today sorry angry misbehaved hurt plz plz slap urself bcoz fault basically,0
353,guy figure alcohol jay figure safely spend weed,0
354,ish minute minute ago wtf,0
355,happy onam fine remembered insurance qatar insha tata aig joined tissco tayseer,0
356,congratulation awarded voucher guaranteed free entry wkly draw txt music tncs,1
357,currently pound maximize send cash,1
